string,prefix,word,sep,pos,year,rel_freq
superfins,super,fins,FUSION,Adj_Nom,1824,0.19558120259673945
supernaturelle,super,naturelle,FUSION,Adj_Nom,1824,0.0027940171799534213
supersaturation,super,saturation,FUSION,Nom,1824,0.0810264982186492
supersécrétion,super,sécrétion,FUSION,Nom,1824,0.016764103079720524
superville,super,ville,FUSION,Nom,1824,0.013970085899767105
ultrarévolutionnaires,ultra,révolutionnaires,FUSION,Adj_Nom,1824,0.03632222333939447
super fin,super,fin,ESPACE,Adj_Nom_Adv,1824,0.0027940171799534213
super fine,super,fine,ESPACE,Adj_Nom,1824,0.0027940171799534213
archi - catholique,archi,catholique,TIRET,Adj_Nom,1824,0.019558120259673944
extra - fin,extra,fin,TIRET,Adj_Nom_Adv,1824,0.019558120259673944
extra - fine,extra,fine,TIRET,Adj_Nom,1824,0.016764103079720524
extra - fines,extra,fines,TIRET,Adj_Nom,1824,0.019558120259673944
extra - fins,extra,fins,TIRET,Adj_Nom,1824,0.02235213743962737
hyper - organiques,hyper,organiques,TIRET,Adj,1824,0.005588034359906843
ultra - catholiques,ultra,catholiques,TIRET,Adj_Nom,1824,0.0027940171799534213
ultra - civilisés,ultra,civilisés,TIRET,Vrb_Nom_Adj,1824,0.0027940171799534213
ultra - libéral,ultra,libéral,TIRET,Adj_Nom,1824,0.0027940171799534213
ultra - libérale,ultra,libérale,TIRET,Adj_Nom,1824,0.019558120259673944
ultra - romantique,ultra,romantique,TIRET,Adj_Nom,1824,0.005588034359906843
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1824,0.06146837795897527
archicatholique,archi,catholique,FUSION,Adj_Nom,1825,0.02164967445059784
extrafines,extra,fines,FUSION,Adj_Nom,1825,0.003092810635799691
extrafins,extra,fins,FUSION,Adj_Nom,1825,0.02164967445059784
hyperorganique,hyper,organique,FUSION,Adj,1825,0.003092810635799691
hyperphysique,hyper,physique,FUSION,Adj_Nom,1825,0.009278431907399073
superfin,super,fin,FUSION,Adj_Nom_Adv,1825,0.2443320402281756
superfines,super,fines,FUSION,Adj_Nom,1825,0.3216523061231678
superfins,super,fins,FUSION,Adj_Nom,1825,0.07732026589499227
supernaturelle,super,naturelle,FUSION,Adj_Nom,1825,0.009278431907399073
supernutrition,super,nutrition,FUSION,Nom,1825,0.006185621271599382
supersaturation,super,saturation,FUSION,Nom,1825,0.003092810635799691
superstimulation,super,stimulation,FUSION,Nom,1825,0.006185621271599382
supersécrétion,super,sécrétion,FUSION,Nom,1825,0.012371242543198765
superville,super,ville,FUSION,Nom,1825,0.009278431907399073
ultrarévolutionnaire,ultra,révolutionnaire,FUSION,Adj_Nom,1825,0.012371242543198765
ultrarévolutionnaires,ultra,révolutionnaires,FUSION,Adj_Nom,1825,0.0340209169937966
extra fin,extra,fin,ESPACE,Adj_Nom_Adv,1825,0.003092810635799691
super fin,super,fin,ESPACE,Adj_Nom_Adv,1825,0.015464053178998453
extra - fin,extra,fin,TIRET,Adj_Nom_Adv,1825,0.018556863814798145
extra - fines,extra,fines,TIRET,Adj_Nom,1825,0.003092810635799691
extra - fins,extra,fins,TIRET,Adj_Nom,1825,0.003092810635799691
super - sécrétion,super,sécrétion,TIRET,Nom,1825,0.003092810635799691
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1825,0.02474248508639753
archicatholique,archi,catholique,FUSION,Adj_Nom,1826,0.005888004975693932
extrafines,extra,fines,FUSION,Adj_Nom,1826,0.0176640149270818
extrafins,extra,fins,FUSION,Adj_Nom,1826,0.002944002487846966
hyperphysique,hyper,physique,FUSION,Adj_Nom,1826,0.002944002487846966
